,donor_id,site_id,cell_class,annotation_coarse,count
4467,AT5,AT5-BRA-5-FO-3,AC-gliosis-hypoxia,Gliosis-like,14
4473,AT5,AT5-BRA-5-FO-3,NPC-OPC-like,OPC-NPC-like,7456
4474,AT5,AT5-BRA-5-FO-3,NPC-OPC-like,OPC-like,6745
4475,AT5,AT5-BRA-5-FO-3,NPC-OPC-like,OPC-neuronal-like,269
4482,AT5,AT5-BRA-5-FO-3,NPC-neuronal-like,NPC-neuronal-like,1413
4491,AT5,AT5-BRA-5-FO-3,Proliferative,Proliferative,756
4500,AT5,AT5-BRA-5-FO-4,AC-gliosis-hypoxia,Hypoxic,75
4501,AT5,AT5-BRA-5-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,64
4502,AT5,AT5-BRA-5-FO-4,AC-gliosis-hypoxia,Gliosis-like,36
4503,AT5,AT5-BRA-5-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,4
4509,AT5,AT5-BRA-5-FO-4,NPC-OPC-like,OPC-like,520
4510,AT5,AT5-BRA-5-FO-4,NPC-OPC-like,OPC-NPC-like,42
4511,AT5,AT5-BRA-5-FO-4,NPC-OPC-like,OPC-neuronal-like,1
4518,AT5,AT5-BRA-5-FO-4,NPC-neuronal-like,NPC-neuronal-like,29
4527,AT5,AT5-BRA-5-FO-4,Proliferative,Proliferative,29
6588,AT6,AT6-BRA-3-FO-1,AC-gliosis-hypoxia,Hypoxic,4664
6589,AT6,AT6-BRA-3-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,4208
6590,AT6,AT6-BRA-3-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,1324
6591,AT6,AT6-BRA-3-FO-1,AC-gliosis-hypoxia,Gliosis-like,285
6597,AT6,AT6-BRA-3-FO-1,NPC-OPC-like,OPC-like,458
6598,AT6,AT6-BRA-3-FO-1,NPC-OPC-like,OPC-neuronal-like,34
6599,AT6,AT6-BRA-3-FO-1,NPC-OPC-like,OPC-NPC-like,29
6606,AT6,AT6-BRA-3-FO-1,NPC-neuronal-like,NPC-neuronal-like,38
6615,AT6,AT6-BRA-3-FO-1,Proliferative,Proliferative,279
6624,AT6,AT6-BRA-3-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,5581
6625,AT6,AT6-BRA-3-FO-2,AC-gliosis-hypoxia,Hypoxic,3250
6626,AT6,AT6-BRA-3-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,2022
6627,AT6,AT6-BRA-3-FO-2,AC-gliosis-hypoxia,Gliosis-like,185
6633,AT6,AT6-BRA-3-FO-2,NPC-OPC-like,OPC-like,1782
6634,AT6,AT6-BRA-3-FO-2,NPC-OPC-like,OPC-NPC-like,71
6635,AT6,AT6-BRA-3-FO-2,NPC-OPC-like,OPC-neuronal-like,28
6642,AT6,AT6-BRA-3-FO-2,NPC-neuronal-like,NPC-neuronal-like,42
6651,AT6,AT6-BRA-3-FO-2,Proliferative,Proliferative,415
6660,AT6,AT6-BRA-3-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,16088
6661,AT6,AT6-BRA-3-FO-3,AC-gliosis-hypoxia,Hypoxic,3776
6662,AT6,AT6-BRA-3-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,2776
6663,AT6,AT6-BRA-3-FO-3,AC-gliosis-hypoxia,Gliosis-like,162
6669,AT6,AT6-BRA-3-FO-3,NPC-OPC-like,OPC-like,3986
6670,AT6,AT6-BRA-3-FO-3,NPC-OPC-like,OPC-NPC-like,247
6671,AT6,AT6-BRA-3-FO-3,NPC-OPC-like,OPC-neuronal-like,99
6678,AT6,AT6-BRA-3-FO-3,NPC-neuronal-like,NPC-neuronal-like,77
6687,AT6,AT6-BRA-3-FO-3,Proliferative,Proliferative,3962
6696,AT6,AT6-BRA-3-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,11505
6697,AT6,AT6-BRA-3-FO-4,AC-gliosis-hypoxia,Hypoxic,7297
