,source,score,norm,pval,state,pval_plot,ng_log_p
101,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.25664034,-0.7160836,0.9552,AC-gliosis-like 3,0.9552,0.045834523
102,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.6089937,-1.722271,0.0,AC progenitor-like 1,9.99999e-07,13.815512
103,GOBP_ASTROCYTE_DIFFERENTIATION,0.6799895,1.547766,0.005340454,AC progenitor-like 1,0.005340454,5.232445
104,HALLMARK_HYPOXIA,0.55993146,1.431866,0.0080831405,AC progenitor-like 1,0.0080831405,4.817975
105,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.48852587,-1.3695903,0.04819277,AC progenitor-like 1,0.04819277,3.0325463
106,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.39914295,0.9336591,0.58598727,AC progenitor-like 1,0.58598727,0.5344572
107,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.45440105,0.85978,0.6818898,AC progenitor-like 1,0.6818898,0.38288724
108,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.74796927,1.6707232,0.0065789474,OPC-like 1,0.0065789474,5.0238805
109,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.45859057,1.4245743,0.021021022,OPC-like 1,0.021021022,3.8622322
110,GOBP_ASTROCYTE_DIFFERENTIATION,0.51914126,1.5279903,0.03939394,OPC-like 1,0.03939394,3.2341433
111,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4012675,1.250719,0.13450292,OPC-like 1,0.13450292,2.0061693
112,HALLMARK_HYPOXIA,0.33186486,1.1703907,0.16352202,OPC-like 1,0.16352202,1.8108076
113,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,0.37641856,1.1078402,0.28660437,OPC-like 1,0.28660437,1.2496525
