,annotation_granular,feature,mean,proportion
48,Monocytes,VCAN,-0.4967230236252672,0.08725744654554443
49,Pro-inflammatory TAMs,VCAN,-0.7162829388540115,0.036046240463737216
50,Proliferative TAMs,VCAN,0.1598435270430848,0.21669565217391304
51,RTN1+ TAMs,VCAN,-0.5008936691465892,0.07705334462320068
52,Resident BAM TAMs,VCAN,-0.1297843663774109,0.13228699551569506
53,Resident-TAMs,VCAN,-0.7570525854433288,0.02464788732394366
54,Stress-response TAMs,VCAN,1.2560787120311996,0.39917976760082025
55,Angiogenic TAMs,CD14,-0.7294942529685127,0.3406441186655893
56,Anti-inflammatory TAMs,CD14,0.5343034363431136,0.4998543123543124
57,Astrocyte-like TAMs,CD14,-0.5180161562163283,0.4144978444834744
58,Interferon TAMs,CD14,-0.6920940295186325,0.4558070025619129
59,Monocytes,CD14,1.847384828598758,0.6768013842541095
60,Pro-inflammatory TAMs,CD14,0.257687296910711,0.4703667921511144
61,Proliferative TAMs,CD14,0.27089178254495366,0.528695652173913
62,RTN1+ TAMs,CD14,-0.8478133881933088,0.30809241562840206
63,Resident BAM TAMs,CD14,0.6226958003607389,0.5201793721973094
64,Resident-TAMs,CD14,1.1268857641352616,0.5700582807187955
65,Stress-response TAMs,CD14,-1.8724310819967578,0.1825017088174983
66,Angiogenic TAMs,CSF1R,-1.54948174978543,0.2708068798337758
67,Anti-inflammatory TAMs,CSF1R,0.1302960278083446,0.5775058275058275
68,Astrocyte-like TAMs,CSF1R,0.31319598556913253,0.6187130768002554
69,Interferon TAMs,CSF1R,0.8752613197425162,0.7833048676345005
70,Monocytes,CSF1R,0.6145669636789163,0.689160795946113
71,Pro-inflammatory TAMs,CSF1R,0.8022478532738688,0.6850118266315754
72,Proliferative TAMs,CSF1R,-0.1988826052724543,0.5909565217391304
73,RTN1+ TAMs,CSF1R,-0.32352007657747955,0.4690939881456393
74,Resident BAM TAMs,CSF1R,-0.03664629956265001,0.5413779046066042
75,Resident-TAMs,CSF1R,1.4689669895013682,0.7542496357455075
76,Stress-response TAMs,CSF1R,-2.096004408376127,0.14559125085440874
77,Angiogenic TAMs,VEGFA,1.6836269184515569,0.4616183770056562
78,Anti-inflammatory TAMs,VEGFA,-0.6701251286067088,0.06264568764568765
79,Astrocyte-like TAMs,VEGFA,-0.0688034400425386,0.18090372026185533
80,Interferon TAMs,VEGFA,-0.7644728152417868,0.05550811272416738
81,Monocytes,VEGFA,-0.32989870205301763,0.12804350512915585
82,Pro-inflammatory TAMs,VEGFA,-0.8100064105556616,0.03601292600859513
83,Proliferative TAMs,VEGFA,-0.2652830626346151,0.1676521739130435
84,RTN1+ TAMs,VEGFA,-0.8095287779436631,0.03314382484577235
85,Resident BAM TAMs,VEGFA,0.982352511692574,0.3273542600896861
86,Resident-TAMs,VEGFA,-0.9088538949217169,0.013841670713938806
87,Stress-response TAMs,VEGFA,1.9609928018555773,0.49213943950786054
88,Angiogenic TAMs,GPNMB,1.3309046547698962,0.5146023317557428
89,Anti-inflammatory TAMs,GPNMB,0.8051461485860136,0.3958333333333333
90,Astrocyte-like TAMs,GPNMB,-0.7149387639426024,0.113843206131247
91,Interferon TAMs,GPNMB,-0.43757321173858416,0.21818958155422716
92,Monocytes,GPNMB,-0.5510374284914468,0.16079594611296502
93,Pro-inflammatory TAMs,GPNMB,-0.2600030229619212,0.20411766665556186
94,Proliferative TAMs,GPNMB,-0.609231454684779,0.17147826086956522
95,RTN1+ TAMs,GPNMB,-0.85293575840493,0.07850489899600822
96,Resident BAM TAMs,GPNMB,-0.6168801385927428,0.12556053811659193
97,Resident-TAMs,GPNMB,-0.4975723221210158,0.15468674113647402
98,Stress-response TAMs,GPNMB,2.404121297582114,0.631578947368421
99,Angiogenic TAMs,PLIN2,1.6867825107530634,0.5675862865058294
100,Anti-inflammatory TAMs,PLIN2,-0.16341446383847877,0.1853146853146853
101,Astrocyte-like TAMs,PLIN2,-0.5344778585488569,0.08733833626057799
102,Interferon TAMs,PLIN2,-0.5560468973887294,0.10439795046968403
103,Monocytes,PLIN2,-0.5498055311554908,0.08144852305030281
104,Pro-inflammatory TAMs,PLIN2,-0.5503774653905301,0.07765599493620282
105,Proliferative TAMs,PLIN2,-0.4468056189843236,0.12382608695652174
106,RTN1+ TAMs,PLIN2,-0.5591412419474239,0.06919075843715979
107,Resident BAM TAMs,PLIN2,-0.2209072694969724,0.1591928251121076
108,Resident-TAMs,PLIN2,-0.5650116940173906,0.07236522583778533
109,Stress-response TAMs,PLIN2,2.459205530015133,0.6541353383458647
110,Angiogenic TAMs,MRC1,-0.5370145963041779,0.10238947246912156
111,Anti-inflammatory TAMs,MRC1,0.6389921968933209,0.28554778554778554
112,Astrocyte-like TAMs,MRC1,-0.1884260570548769,0.15870988344243972
113,Interferon TAMs,MRC1,-0.8666534375233432,0.05721605465414176
114,Monocytes,MRC1,-0.3944084899232419,0.14015572858731926
115,Pro-inflammatory TAMs,MRC1,-3.587559229953401e-05,0.16847119965352966
116,Proliferative TAMs,MRC1,-0.3635881079121136,0.1485217391304348
117,RTN1+ TAMs,MRC1,-0.017735172905665345,0.16499334704245797
118,Resident BAM TAMs,MRC1,2.918908877779936,0.5110069302894416
