,time,variable,value
309,0.8178711480509128,ETV6,0.5724968039486861
310,0.7942048095810421,ETV6,0.5724968039486861
311,0.868620741348294,ETV6,0.5724968039486861
312,0.8191077056487579,ETV6,0.5724968039486861
313,0.8138778996126588,ETV6,0.5724968039486861
314,0.7779696884109717,ETV6,0.5724968039487612
315,0.8824947371460837,ETV6,0.5724968039486861
316,0.9000236375693528,ETV6,0.5724968039486861
317,0.7800446263617338,ETV6,0.5724968039486912
318,0.801021547029993,ETV6,0.5724968039486861
319,0.7978201418307586,ETV6,0.5724968039486861
320,0.7460718209138681,ETV6,0.4921103905930355
321,0.7964848115830087,ETV6,0.5724968039486861
322,0.8166075229480455,ETV6,0.5724968039486861
323,0.8395703437215999,ETV6,0.5724968039486861
324,0.8187272568281715,ETV6,0.5724968039486861
325,0.7995431230714837,ETV6,0.5724968039486861
326,0.8860278379989643,ETV6,0.5724968039486861
327,0.7999986802612684,ETV6,0.5724968039486861
328,0.7856004296293693,ETV6,0.5724968039486861
329,0.8476371725209068,ETV6,0.5724968039486861
330,0.745004791373792,ETV6,0.4921103905930355
331,0.7980202197626167,ETV6,0.5724968039486861
332,0.8353554899790726,ETV6,0.5724968039486861
333,0.8058451030565081,ETV6,0.5724968039486861
334,0.9048601733351184,ETV6,0.5724968039486861
335,0.8158163128670383,ETV6,0.5724968039486861
336,0.8368836168415402,ETV6,0.5724968039486861
337,0.8016566045162391,ETV6,0.5724968039486861
338,0.7464605007886133,ETV6,0.4921103905930355
339,0.7963240685926589,ETV6,0.5724968039486861
340,0.7819977605398971,ETV6,0.5724968039486865
341,0.8053904956037417,ETV6,0.5724968039486861
342,0.7520156708982365,ETV6,0.4921103905930355
343,0.779768806902665,ETV6,0.5724968039486934
344,0.8018157646115582,ETV6,0.5724968039486861
345,0.12203834774923657,ETV6,0.11936524094212533
346,0.7278617216142131,ETV6,0.492110390593037
347,0.8176370378758983,ETV6,0.5724968039486861
348,0.9158839291961952,ETV6,0.5724968039486861
349,0.8312344227671038,ETV6,0.5724968039486861
350,0.7729771583399481,ETV6,0.5724968039969275
351,0.8463864480125384,ETV6,0.5724968039486861
352,0.8362828290327049,ETV6,0.5724968039486861
353,0.858060536296906,ETV6,0.5724968039486861
354,0.8392406266867417,ETV6,0.5724968039486861
355,0.8402559747040712,ETV6,0.5724968039486861
356,0.6975941568537976,ETV6,0.49223460640517186
357,0.7495839484075943,ETV6,0.4921103905930355
358,0.841247895874949,ETV6,0.5724968039486861
359,0.8076511862863358,ETV6,0.5724968039486861
360,0.866737887709486,ETV6,0.5724968039486861
361,0.9372485800021811,ETV6,0.5724968039486861
362,0.7318650214359109,ETV6,0.4921103905930355
363,0.8197539225449693,ETV6,0.5724968039486861
364,0.7828973197857438,ETV6,0.5724968039486862
365,0.8078127998689523,ETV6,0.5724968039486861
366,0.5815839383562108,ETV6,0.4972877557571619
367,0.8185248836985191,ETV6,0.5724968039486861
368,0.8874097053606117,ETV6,0.5724968039486861
369,0.8209896886952992,ETV6,0.5724968039486861
370,0.9228716984531942,ETV6,0.5724968039486861
371,0.7406983671537489,ETV6,0.4921103905930355
372,0.8011589423186424,ETV6,0.5724968039486861
373,0.9145497069749667,ETV6,0.5724968039486861
374,0.8124900963946471,ETV6,0.5724968039486861
375,0.8132931781883833,ETV6,0.5724968039486861
376,0.794911572212171,ETV6,0.5724968039486861
377,0.8450473188167152,ETV6,0.5724968039486861
378,0.7821489270153121,ETV6,0.5724968039486864
379,0.8881403697067014,ETV6,0.5724968039486861
380,0.7710913763453335,ETV6,0.5724968045025559
381,0.8590824533286122,ETV6,0.5724968039486861
382,0.8727814600807774,ETV6,0.5724968039486861
383,0.8110521945489192,ETV6,0.5724968039486861
384,0.8998910701105465,ETV6,0.5724968039486861
385,0.7941957870793681,ETV6,0.5724968039486861
386,0.8192027584953409,ETV6,0.5724968039486861
387,0.8149891710688381,ETV6,0.5724968039486861
388,0.7345019662672605,ETV6,0.4921103905930355
389,0.7866725244335431,ETV6,0.5724968039486861
390,0.8161974739903883,ETV6,0.5724968039486861
391,0.8476048023175325,ETV6,0.5724968039486861
392,0.8308368786801877,ETV6,0.5724968039486861
393,0.7949163208972626,ETV6,0.5724968039486861
394,0.757778121112107,ETV6,0.5885356785036521
395,0.8440958406138674,ETV6,0.5724968039486861
396,0.8060506419762216,ETV6,0.5724968039486861
397,0.842186315193795,ETV6,0.5724968039486861
398,0.8125433608124242,ETV6,0.5724968039486861
399,0.80281670828411,ETV6,0.5724968039486861
400,0.8057513165259496,ETV6,0.5724968039486861
401,0.7895336072012149,ETV6,0.5724968039486861
402,0.9037743864889305,ETV6,0.5724968039486861
403,0.8458752520624307,ETV6,0.5724968039486861
404,0.7492628581506526,ETV6,0.4921103905930355
405,0.8321009786515641,ETV6,0.5724968039486861
406,0.8542750428314083,ETV6,0.5724968039486861
407,0.818282859048352,ETV6,0.5724968039486861
408,0.7800996319640445,ETV6,0.5724968039486908
409,0.807029425118346,ETV6,0.5724968039486861
410,0.8622200678581164,ETV6,0.5724968039486861
411,0.7876909590961821,ETV6,0.5724968039486861
412,0.7451402080436533,ETV6,0.4921103905930355
413,0.8844242070435407,ETV6,0.5724968039486861
414,0.8103296821122367,ETV6,0.5724968039486861
415,0.8082127974431657,ETV6,0.5724968039486861
416,0.8463601719550317,ETV6,0.5724968039486861
417,0.914633521266833,ETV6,0.5724968039486861
418,0.8061793313422032,ETV6,0.5724968039486861
419,0.7449084722111846,ETV6,0.4921103905930355
420,0.8187167305762185,ETV6,0.5724968039486861
421,0.7722741946568924,ETV6,0.572496804068523
422,0.8295091463285844,ETV6,0.5724968039486861
423,0.8819159515781727,ETV6,0.5724968039486861
424,0.7535051751219595,ETV6,0.4921103905930355
425,0.8683176169499488,ETV6,0.5724968039486861
426,0.7925512382874055,ETV6,0.5724968039486861
427,0.7812253077650015,ETV6,0.5724968039486872
428,0.8020202746495019,ETV6,0.5724968039486861
429,0.8412372904782445,ETV6,0.5724968039486861
430,0.7615697087234722,ETV6,0.5726188265010506
431,0.810968538546556,ETV6,0.5724968039486861
432,0.761257878402459,ETV6,0.572679185313531
433,0.7604366724606232,ETV6,0.5730221164535084
434,0.7978798961181608,ETV6,0.5724968039486861
435,0.8013913904538748,ETV6,0.5724968039486861
436,0.8376722151457472,ETV6,0.5724968039486861
437,0.7999633025573362,ETV6,0.5724968039486861
438,0.8502346241212448,ETV6,0.5724968039486861
439,0.9432273328219727,ETV6,0.5724968039486861
440,0.7952276763497667,ETV6,0.5724968039486861
441,0.911406156589098,ETV6,0.5724968039486861
442,0.8054523076546836,ETV6,0.5724968039486861
443,0.7584601114360081,ETV6,0.5791761359873995
444,0.8609497945961212,ETV6,0.5724968039486861
445,0.8460743011125191,ETV6,0.5724968039486861
446,0.8518302614567643,ETV6,0.5724968039486861
447,0.780234336331142,ETV6,0.5724968039486901
448,0.8298670388949858,ETV6,0.5724968039486861
449,0.8419229214607158,ETV6,0.5724968039486861
450,0.836068346756069,ETV6,0.5724968039486861
451,0.8808013560424294,ETV6,0.5724968039486861
452,0.7239993785949835,ETV6,0.49211039059307254
453,0.7515565521946331,ETV6,0.4921103905930355
454,0.7981183592545091,ETV6,0.5724968039486861
455,0.9102043435371728,ETV6,0.5724968039486861
456,0.7474210014931351,ETV6,0.4921103905930355
457,0.25728606335222765,ETV6,0.323239011919666
458,0.809230836382047,ETV6,0.5724968039486861
459,0.7512152008813007,ETV6,0.4921103905930355
460,0.9301177961791744,ETV6,0.5724968039486861
461,0.8075091214573462,ETV6,0.5724968039486861
462,0.6455088771572844,ETV6,0.1368570077562371
463,0.7866824175274838,ETV6,0.5724968039486861
464,0.8049612936162152,ETV6,0.5724968039486861
465,0.7189349850895741,ETV6,0.4921103905955224
466,0.8272042928746387,ETV6,0.5724968039486861
467,0.7772790713091541,ETV6,0.5724968039488699
468,0.8970645735992916,ETV6,0.5724968039486861
469,0.8487105336411049,ETV6,0.5724968039486861
470,0.849849743194573,ETV6,0.5724968039486861
471,0.7863748610230531,ETV6,0.5724968039486861
472,0.8272502759752755,ETV6,0.5724968039486861
473,0.8023368536556067,ETV6,0.5724968039486861
474,0.8438333966178065,ETV6,0.5724968039486861
475,0.7307585778095748,ETV6,0.49211039059303563
476,0.794322260392307,ETV6,0.5724968039486861
477,0.7322392969658782,ETV6,0.4921103905930355
478,0.8911057652568848,ETV6,0.5724968039486861
479,0.839560292338156,ETV6,0.5724968039486861
480,0.8155784037439505,ETV6,0.5724968039486861
481,0.723622966156725,ETV6,0.4921103905930862
482,0.7403149108326046,ETV6,0.4921103905930355
483,0.8256306577800434,ETV6,0.5724968039486861
484,0.7413664280013815,ETV6,0.4921103905930355
485,0.9018686600169313,ETV6,0.5724968039486861
486,0.8618615421337028,ETV6,0.5724968039486861
487,0.820602512570833,ETV6,0.5724968039486861
488,0.7931622357691877,ETV6,0.5724968039486861
489,0.809854576168825,ETV6,0.5724968039486861
490,0.8465873965366634,ETV6,0.5724968039486861
491,0.7947008097388568,ETV6,0.5724968039486861
492,0.7403585987354471,ETV6,0.4921103905930355
493,0.892646001266336,ETV6,0.5724968039486861
494,0.2645320621472686,ETV6,0.32502292833246665
495,0.7132619684449283,ETV6,0.49211039086981956
496,0.8131005398631685,ETV6,0.5724968039486861
497,0.7943145833514089,ETV6,0.5724968039486861
498,0.7762468654597495,ETV6,0.5724968039493857
499,0.8929352753331642,ETV6,0.5724968039486861
500,0.7905075625134962,ETV6,0.5724968039486861
501,0.7976066092911408,ETV6,0.5724968039486861
502,0.8040980618113189,ETV6,0.5724968039486861
503,0.8145119282171351,ETV6,0.5724968039486861
504,0.838123577663701,ETV6,0.5724968039486861
505,0.8229232741198356,ETV6,0.5724968039486861
506,0.9320331783108599,ETV6,0.5724968039486861
507,0.8338444583829345,ETV6,0.5724968039486861
508,0.7425577148013538,ETV6,0.4921103905930355
509,0.8068630628506379,ETV6,0.5724968039486861
510,0.7485754068388961,ETV6,0.4921103905930355
511,0.7425961791505955,ETV6,0.4921103905930355
512,0.8718090876635267,ETV6,0.5724968039486861
513,0.898551149467208,ETV6,0.5724968039486861
514,0.8143410546985901,ETV6,0.5724968039486861
515,0.8510816312520781,ETV6,0.5724968039486861
516,0.8059438757064128,ETV6,0.5724968039486861
517,0.74668487615919,ETV6,0.4921103905930355
518,0.7212558257833281,ETV6,0.49211039059339734
519,0.8545048000450889,ETV6,0.5724968039486861
520,0.739359712826435,ETV6,0.4921103905930355
521,0.8747741666347039,ETV6,0.5724968039486861
522,0.8046119486829785,ETV6,0.5724968039486861
523,0.881208318354777,ETV6,0.5724968039486861
524,0.8353482086619322,ETV6,0.5724968039486861
525,0.8121276925774086,ETV6,0.5724968039486861
526,0.8506488677507329,ETV6,0.5724968039486861
527,0.7850733255842048,ETV6,0.5724968039486861
528,0.8196848291768869,ETV6,0.5724968039486861
529,0.8433168979693466,ETV6,0.5724968039486861
530,0.8022664148267483,ETV6,0.5724968039486861
531,0.8324554679936499,ETV6,0.5724968039486861
532,0.9720178982294064,ETV6,0.5724968039486861
533,0.7885135896435453,ETV6,0.5724968039486861
534,0.8476213435706016,ETV6,0.5724968039486861
535,0.8611030188350759,ETV6,0.5724968039486861
536,0.7824897243153839,ETV6,0.5724968039486863
537,0.8345622221345256,ETV6,0.5724968039486861
538,0.8166935532929546,ETV6,0.5724968039486861
539,0.7699190842857276,ETV6,0.5724968064730873
540,0.8056866552639527,ETV6,0.5724968039486861
541,0.9113376172342763,ETV6,0.5724968039486861
542,0.913214851595726,ETV6,0.5724968039486861
543,0.78806681752118,ETV6,0.5724968039486861
544,0.8269504756564943,ETV6,0.5724968039486861
