batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT6	AT6_15	5	Stress-response TAMs, Endothelial (arteriole), VLMC, MES2like.1, Ambiguous (vascular), A1-state Astrocytes, Resident BAM TAMs, Angiogenic TAMs, AClike_MES2like.1, Pericytes	Stress-response TAMs, MES2like.1, Endothelial (arteriole), VLMC, Angiogenic TAMs, Pericytes, AClike.2, AClike_MES2like.1, AClike.1, AClike_MES1like.2	Hypoxic 1
sp_batchAT6	AT6_2	3	Oligodendrocytes 1, Ambiguous (oligo.), Oligodendrocytes 2, Resident-Microglia TAMs, A1-state Astrocytes, Naïve T cells, Undefined_1, Inh SST (Chodl), AClike_MES1like.4, Exc L6CT	Oligodendrocytes 1, Oligodendrocytes 2, Ambiguous (oligo.), Naïve T cells, Resident-Microglia TAMs, AClike_MES1like.4, A1-state Astrocytes, Exc L4-5 IT, AClike_MES1like.2, Undefined_1	White matter
sp_batchAT6	AT6_3	1	AClike.2, AClike.4, AClike.1, Ion-channel Astrocytes, OPClike.3, Macrophage (microglia), AClike_MES2like.1, OPClike.2, AClike_MES1like.3, Exc L5-6 NP	AClike.1, AClike.4, AClike.2, OPClike.2, OPClike.1, NPC1like.1, Macrophage (microglia), OPClike.3, NPC1like_OPClike.1, AClike_MES2like.1	Dev-like (AC)
sp_batchAT6	AT6_4	11	AClike_MES1like.1, AClike_MES1like.2, NPC2like.1, Inflammatory Astrocytes, MES1like_NPC2like.1, A1-state Astrocytes, Ambiguous (lymphocyte 1), MES1like_MES2like.1, Endothelial (CNA-associated), Inh SST (Chodl)	AClike_MES1like.1, MES1like_MES2like.1, AClike_MES1like.2, Pericyte (CNA-associated), AClike_MES1like.4, MES1like_NPC2like.1, OPClike.1, Inflammatory Astrocytes, AClike.1, Endothelial (CNA-associated)	Gliosis transition
sp_batchAT6	AT6_5	18	AClike_MES1like.4, Inh PAX6, NPC2like.1, Undefined_9, IFN-response T cells, NPC2like.5, NPC1like_OPClike.2, T proliferatve cells, Neural-support Astrocytes, OPClike.5	AClike_MES1like.4, Naïve T cells, AClike.4, OPClike.5, NPC1like.1, Inh RELN, Proliferatve TAMs, Resident-Microglia TAMs, NPC1like_OPClike.1, OPClike.2	Gliosis (diffuse)
sp_batchAT6	AT6_6	9	MES2like.2, OPClike.1, Exc L6 Car3, MES1like_NPC2like.1, Undefined_5, AClike_MES1like.3, Exc L6 IT, NPC2like_OPClike.1, L5 ET, AClike_MES2like.1	MES2like.2, AClike_MES1like.1, OPClike.1, AClike.1, AClike.3, MES2like.1, MES1like_NPC2like.1, AClike_MES1like.3, AClike_MES2like.1, NPC2like_OPClike.1	Hypoxic 2
sp_batchAT6	AT6_7	4	AClike.3, NPC1like.1, OPClike.3, OPClike.2, Oligo.-associated Astrocytes, AClike_MES2like.1, Undefined_2, NPC2like.5, Macrophage (microglia), NPC1like_OPClike.1	AClike.3, AClike.1, NPC1like.1, OPClike.2, AClike.4, NPC1like_OPClike.1, Macrophage (microglia), OPClike.3, AClike_MES2like.1, Endothelial (capillary)	Proliferative
sp_batchAT6	AT6_8	3	Oligodendrocytes 2, Ambiguous (oligo.), Undefined_1, Oligodendrocytes 1, B cells, CD8 T cells, Ambiguous (lymphocyte 2), Inh Chandelier, NK T cells, Oligo.-associated Astrocytes	Oligodendrocytes 2, Oligodendrocytes 1, Ambiguous (oligo.), Undefined_1, Inh RELN, B cells, CD8 T cells, NK cells, Monocyte, Oligo.-associated Astrocytes	White matter
sp_batchAT6	AT6_9	14	Proliferatve TAMs, Monocyte, RTN1+ TAMs, Lymphoid DC, Resident BAM TAMs, AClike_MES1like.2, T proliferatve cells, Undefined_7, Pro-inflammatory TAMs, Phagocytotic astrocytes	Proliferatve TAMs, Monocyte, AClike.2, RTN1+ TAMs, AClike_MES1like.2, Pro-inflammatory TAMs, Anti-inflammatory TAMs, Phagocytotic astrocytes, OPClike.1, Resident BAM TAMs	Immune (TAMs)
sp_batchAT7	AT7_0	18	AClike_MES1like.4, T proliferatve cells, Ambiguous (vascular), Undefined_2, ECM Astrocytes, Endothelial (venule), Ambiguous (lymphocyte 1), Undefined_0, T reg, Undefined_7	AClike_MES1like.4, T proliferatve cells, Undefined_6, Ambiguous (vascular), Undefined_2, AClike_MES1like.2, Proliferatve TAMs, Undefined_7, ECM Astrocytes, T reg	Gliosis (diffuse)
sp_batchAT7	AT7_1	17	MES2like.1, Naïve T cells, MES1like_MES2like.1, Stress-response TAMs, Plasma cells, AClike_MES1like.4, OPClike.4, Undefined_2, T proliferatve cells, T reg	MES2like.1, MES1like_MES2like.1, Naïve T cells, Stress-response TAMs, AClike_MES1like.4, T proliferatve cells, Plasma cells, Undefined_2, T reg, OPClike.4	Hypoxic 1
sp_batchAT7	AT7_10	0	Pericytes, Endothelial (arteriole), Endothelial (Other), Endothelial (CNA-associated), IFN-response T cells, Endothelial (venule), Endothelial (capillary), Anti-inflammatory TAMs, Mixed CD4/CD8 T cells, NK cells	Pericytes, Endothelial (Other), Endothelial (arteriole), IFN-response T cells, Anti-inflammatory TAMs, CD8 T cells, Endothelial (venule), NK cells, Mixed CD4/CD8 T cells, Endothelial (CNA-associated)	Vasculature
sp_batchAT7	AT7_11	0	VLMC, Pericyte (CNA-associated), Ambiguous (lymphocyte 1), CD8 T cells, Plasma cells, NK cells, Mixed CD4/CD8 T cells, CD8+ T cytotoxic cells , NK T cells, Resident BAM TAMs	VLMC, Resident BAM TAMs, Pericytes, CD8 T cells, Pericyte (CNA-associated), Plasma cells, Angiogenic TAMs, NK cells, Mixed CD4/CD8 T cells, Ambiguous (lymphocyte 1)	Vasculature
sp_batchAT7	AT7_12	9	MES2like.2, MES1like_NPC2like.1, Ambiguous (neurons), AClike.4, NPC2like.3, AClike.3, OPClike.1, NPC1like.1, NPC2like_OPClike.1, L5 ET	MES2like.2, AClike.3, AClike_MES1like.1, AClike_MES1like.4, NPC1like.1, OPClike.1, MES1like_NPC2like.1, AClike.1, NPC2like.3, MES1like_MES2like.1	Hypoxic 2
sp_batchAT7	AT7_13	15	MES1like_MES2like.1, MES2like.1, Plasma cells, Undefined_2, OPClike.4, Exc L5-6 NP, Exc L4 IT, Inh Chandelier, L5 ET, Inh VIP	MES1like_MES2like.1, MES2like.1, Plasma cells, Undefined_2, Angiogenic TAMs, OPClike.4, Exc L5-6 NP, L5 ET, Exc L4 IT, Inh Chandelier	Gliosis
sp_batchAT7	AT7_14	14	Resident BAM TAMs, Lymphoid DC, Anti-inflammatory TAMs, CD8+ T cytotoxic cells , Mixed CD4/CD8 T cells, T reg, NK cells, Ambiguous (vascular), CD8 T cells, NK T cells	Resident BAM TAMs, Anti-inflammatory TAMs, T proliferatve cells, Proliferatve TAMs, CD8+ T cytotoxic cells , Ambiguous (vascular), CD8 T cells, NK cells, Lymphoid DC, Mixed CD4/CD8 T cells	Immune (TAMs)
sp_batchAT7	AT7_15	1	AClike.2, A1-state Astrocytes, Neural-support Astrocytes, NPC2like.1, Monocyte, AClike_MES1like.2, Oligo.-associated Astrocytes, AClike_MES1like.3, ECM Astrocytes, AClike.4	AClike.2, AClike.1, A1-state Astrocytes, AClike_MES1like.2, Oligo.-associated Astrocytes, Neural-support Astrocytes, Monocyte, NPC2like.1, Ion-channel Astrocytes, Interferon TAMs	Dev-like (AC)
sp_batchAT7	AT7_2	1	AClike.1, Pericyte (CNA-associated), AClike_MES1like.2, Ambiguous (neurons), NPC2like.3, OPClike.1, Resident BAM TAMs, AClike.4, MES1like_NPC2like.1, NPC1like.1	AClike.1, Resident BAM TAMs, AClike_MES1like.2, OPClike.1, AClike.2, AClike.3, NPC1like.1, NPC2like.3, AClike_MES1like.4, Pericyte (CNA-associated)	Dev-like (AC)
sp_batchAT7	AT7_3	11	AClike_MES1like.1, Pericyte (CNA-associated), NPC2like.4, NPC2like.1, Proliferatve TAMs, ECM Astrocytes, Undefined_2, A1-state Astrocytes, AClike_MES2like.1, Angiogenic TAMs	AClike_MES1like.1, Angiogenic TAMs, Proliferatve TAMs, T proliferatve cells, MES1like_MES2like.1, A1-state Astrocytes, AClike_MES1like.4, Undefined_2, Pericyte (CNA-associated), AClike_MES1like.2	Gliosis transition
sp_batchAT7	AT7_4	12	Undefined_6, Undefined_1, Resident-Microglia TAMs, Undefined_7, Phagocytotic astrocytes, Ion-channel Astrocytes, Undefined_5, NPC1like_OPClike.2, Ambiguous (lymphocyte 2), OPClike.3	Resident-Microglia TAMs, Undefined_6, NPC1like_OPClike.1, AClike.2, OPClike.2, Undefined_1, AClike_MES1like.2, Undefined_7, Phagocytotic astrocytes, Ion-channel Astrocytes	Immune (resident)
sp_batchAT7	AT7_5	6	OPClike.2, Interferon TAMs, NPC1like_OPClike.1, Pro-inflammatory TAMs, Macrophage (microglia), Inflammatory Astrocytes, Monocyte, OPCs, OPClike.3, Undefined_3	AClike.2, NPC1like_OPClike.1, OPClike.2, Resident-Microglia TAMs, Macrophage (microglia), Pro-inflammatory TAMs, Interferon TAMs, OPClike.3, Monocyte, Oligo.-associated Astrocytes	Dev-like (OPC)
sp_batchAT7	AT7_6	10	Exc L2-3 IT, Exc L4-5 IT, Inh SST, Exc L6b, Inh PVALB, Inh LAMP5, Inh RELN, Undefined_4, Undefined_10, Exc L6 IT	Exc L2-3 IT, Exc L4-5 IT, Exc L6b, Inh SST, A1-state Astrocytes, AClike.1, Inh LAMP5, Inh PVALB, OPCs, Undefined_10	Grey matter
sp_batchAT7	AT7_7	3	Oligodendrocytes 2, OPC (differentiating), Oligodendrocytes 1, Ambiguous (oligo.), Macrophage (microglia), Inflammatory Astrocytes, Neural-support Astrocytes, Pro-inflammatory TAMs, Oligo.-associated Astrocytes, Undefined_1	Oligodendrocytes 2, Oligodendrocytes 1, OPC (differentiating), Macrophage (microglia), AClike.2, NPC1like_OPClike.1, Pro-inflammatory TAMs, Oligo.-associated Astrocytes, Undefined_1, Inflammatory Astrocytes	White matter
sp_batchAT7	AT7_8	4	AClike.3, AClike_MES2like.1, NPC1like.1, MES1like_NPC2like.1, OPClike.1, NPC2like_OPClike.1, AClike_MES1like.3, NPC1like_OPClike.3, Proliferatve TAMs, AClike.4	AClike.3, NPC1like.1, MES2like.2, OPClike.1, Proliferatve TAMs, AClike.1, AClike_MES1like.1, MES1like_NPC2like.1, AClike_MES2like.1, OPClike.3	Proliferative
sp_batchAT7	AT7_9	5	Stress-response TAMs, Angiogenic TAMs, Plasma cells, Undefined_2, A1-state Astrocytes, OPClike.4, Ambiguous (oligo.), Neural-support Astrocytes, Naïve T cells, Ambiguous (lymphocyte 1)	Angiogenic TAMs, Stress-response TAMs, MES1like_MES2like.1, A1-state Astrocytes, Plasma cells, Undefined_2, MES2like.1, T proliferatve cells, Naïve T cells, Proliferatve TAMs	Hypoxic 1
sp_batchAT9	AT9_0	18	NPC1like_OPClike.2, L5 ET, NPC2like.5, Undefined_8, Inh PAX6, Undefined_10, T proliferatve cells, Undefined_7, AClike_MES1like.4, Inh Chandelier	NPC1like_OPClike.2, AClike_MES1like.4, NPC2like.5, L5 ET, AClike.2, Resident-Microglia TAMs, Undefined_10, Inh PAX6, Neural-support Astrocytes, Undefined_8	Gliosis (diffuse)
sp_batchAT9	AT9_1	1	AClike.2, AClike_MES1like.2, AClike.4, A1-state Astrocytes, Neural-support Astrocytes, AClike_MES1like.1, AClike.1, AClike_MES2like.1, Oligo.-associated Astrocytes, Inh PVALB	AClike.2, AClike_MES1like.1, AClike.4, AClike.1, A1-state Astrocytes, AClike_MES1like.2, AClike_MES2like.1, NPC1like_OPClike.3, AClike_MES1like.3, NPC2like.3	Dev-like (AC)
sp_batchAT9	AT9_10	6	OPC (differentiating), OPClike.4, Undefined_10, Neural-support Astrocytes, Oligo.-associated Astrocytes, Undefined_2, Plasma cells, OPCs, Undefined_0, Undefined_3	OPClike.4, AClike.2, OPC (differentiating), AClike.4, A1-state Astrocytes, AClike.1, Oligodendrocytes 1, AClike.3, Undefined_10, Neural-support Astrocytes	Dev-like (OPC)
sp_batchAT9	AT9_11	15	MES1like_MES2like.1, MES2like.1, MES2like.2, Exc L6 Car3, Naïve T cells, T reg, Ambiguous (lymphocyte 1), Neural-support Astrocytes, Ambiguous (vascular), Exc L5-6 NP	MES1like_MES2like.1, MES2like.1, MES2like.2, AClike_MES1like.1, AClike_MES2like.1, Mixed CD4/CD8 T cells, Naïve T cells, CD8 T cells, T reg, CD8+ T cytotoxic cells 	Gliosis
sp_batchAT9	AT9_12	12	Resident-Microglia TAMs, Interferon TAMs, Pro-inflammatory TAMs, Phagocytotic astrocytes, Proliferatve TAMs, Monocyte, IFN-response T cells, Macrophage (microglia), RTN1+ TAMs, Undefined_7	Resident-Microglia TAMs, Interferon TAMs, Anti-inflammatory TAMs, Proliferatve TAMs, Pro-inflammatory TAMs, RTN1+ TAMs, Phagocytotic astrocytes, Monocyte, Resident BAM TAMs, Macrophage (microglia)	Immune (resident)
sp_batchAT9	AT9_13	6	OPClike.3, AClike_MES1like.3, Anti-inflammatory TAMs, Resident BAM TAMs, AClike.1, Macrophage (microglia), NPC1like_OPClike.3, RTN1+ TAMs, Monocyte, AClike_MES2like.1	OPClike.3, AClike.2, OPClike.4, Anti-inflammatory TAMs, AClike.1, AClike_MES1like.3, NPC1like_OPClike.3, AClike.4, Resident BAM TAMs, Interferon TAMs	Dev-like (OPC)
sp_batchAT9	AT9_14	3	Oligodendrocytes 2, Oligodendrocytes 1, Ambiguous (oligo.), Undefined_1, Undefined_0, Undefined_4, Ambiguous (lymphocyte 2), Undefined_6, Undefined_5, OPC (differentiating)	Oligodendrocytes 1, Oligodendrocytes 2, Ambiguous (oligo.), Undefined_1, A1-state Astrocytes, Resident-Microglia TAMs, Undefined_4, Undefined_0, OPClike.3, Interferon TAMs	White matter
sp_batchAT9	AT9_15	11	Angiogenic TAMs, Stress-response TAMs, AClike_MES1like.1, AClike_MES2like.1, Ambiguous (vascular), NK T cells, Lymphoid DC, A1-state Astrocytes, Pro-inflammatory TAMs, NK cells	AClike_MES1like.1, Angiogenic TAMs, Stress-response TAMs, MES1like_MES2like.1, AClike_MES2like.1, A1-state Astrocytes, OPClike.3, AClike.4, Pro-inflammatory TAMs, Resident BAM TAMs	Gliosis transition
sp_batchAT9	AT9_2	8	NPC2like_OPClike.1, Exc L4 IT, OPClike.5, NPC2like.2, Exc L2-3 IT, Exc L4-5 IT, Inh SST (Chodl), Inh PAX6, Inh PVALB, NPC2like.1	NPC2like_OPClike.1, OPClike.4, NPC1like_OPClike.3, OPClike.5, NPC2like.2, OPClike.2, AClike.3, OPClike.3, AClike.1, A1-state Astrocytes	Dev-like (Neuron)
sp_batchAT9	AT9_3	4	AClike.3, T proliferatve cells, NPC1like.1, Undefined_10, Endothelial (venule), Undefined_8, Ion-channel Astrocytes, Plasma cells, Undefined_3, NPC2like.4	AClike.3, OPClike.3, NPC1like.1, NPC1like_OPClike.1, OPClike.2, Proliferatve TAMs, AClike_MES1like.3, OPClike.1, OPClike.5, NPC2like.4	Proliferative
sp_batchAT9	AT9_4	6	OPClike.2, NPC1like_OPClike.1, NPC2like.3, OPClike.5, OPClike.1, NPC2like.5, NPC2like.4, Inh SST (Chodl), L5 ET, NPC2like.2	OPClike.2, NPC1like_OPClike.1, NPC2like.3, NPC1like_OPClike.3, NPC2like_OPClike.1, OPClike.5, OPClike.3, AClike.2, AClike.3, OPClike.1	Dev-like (OPC)
sp_batchAT9	AT9_5	18	AClike_MES1like.4, Ion-channel Astrocytes, Endothelial (venule), Undefined_7, T reg, Ambiguous (lymphocyte 1), Inh PVALB, Undefined_6, Naïve T cells, Undefined_1	AClike_MES1like.4, Resident-Microglia TAMs, NPC1like_OPClike.2, Angiogenic TAMs, NPC1like.1, A1-state Astrocytes, Ion-channel Astrocytes, T reg, Undefined_1, CD8 T cells	Gliosis (diffuse)
sp_batchAT9	AT9_6	0	Pericytes, Pericyte (CNA-associated), CD8+ T cytotoxic cells , Endothelial (CNA-associated), Endothelial (Other), Mixed CD4/CD8 T cells, Endothelial (arteriole), Ambiguous (vascular), B cells, VLMC	Pericytes, Endothelial (Other), Anti-inflammatory TAMs, AClike_MES1like.1, Pericyte (CNA-associated), Resident BAM TAMs, Proliferatve TAMs, Endothelial (CNA-associated), RTN1+ TAMs, CD8+ T cytotoxic cells 	Vasculature
sp_batchAT9	AT9_7	17	MES2like.1, Stress-response TAMs, MES1like_MES2like.1, Angiogenic TAMs, T reg, Naïve T cells, MES2like.2, Mixed CD4/CD8 T cells, CD8 T cells, NK T cells	MES2like.1, MES1like_MES2like.1, Stress-response TAMs, MES2like.2, Angiogenic TAMs, A1-state Astrocytes, Mixed CD4/CD8 T cells, T reg, CD8+ T cytotoxic cells , CD8 T cells	Hypoxic 1
sp_batchAT9	AT9_8	9	MES2like.2, Exc L6 IT, NPC2like.5, NPC2like.3, Exc L2-3 IT, Exc L4-5 IT, Exc L6CT, Exc L6b, Exc L4 IT, Exc L5-6 NP	MES2like.2, MES2like.1, NPC2like.3, NPC2like.5, AClike_MES1like.1, Exc L2-3 IT, NPC1like_OPClike.1, Exc L6 IT, Exc L4-5 IT, Angiogenic TAMs	Hypoxic 2
sp_batchAT9	AT9_9	0	Endothelial (Other), Endothelial (capillary), Endothelial (arteriole), Endothelial (CNA-associated), Pericyte (CNA-associated), Pericytes, CD8+ T cytotoxic cells , Mixed CD4/CD8 T cells, CD8 T cells, B cells	Endothelial (Other), Pericytes, Endothelial (capillary), Endothelial (CNA-associated), Endothelial (arteriole), Anti-inflammatory TAMs, Resident BAM TAMs, Pericyte (CNA-associated), CD8+ T cytotoxic cells , RTN1+ TAMs	Vasculature
