batch	factor	cluster	top_n_per_patient	top_n_per_factor	environment
sp_batchAT14	AT14_11	15	MES1like_MES2like.1, VLMC, Endothelial (CNA-associated), Angiogenic TAMs, Exc L6b, Exc L6CT, T reg, Undefined_10, OPClike.4, Inh PVALB	MES1like_MES2like.1, VLMC, Endothelial (CNA-associated), Angiogenic TAMs, MES2like.1, AClike_MES1like.1, AClike_MES1like.4, T reg, IFN-response T cells, Plasma cells	Gliosis
sp_batchAT14	AT14_12	0	Endothelial (capillary), Pericyte (CNA-associated), Endothelial (arteriole), Endothelial (Other), Ambiguous (vascular), RTN1+ TAMs, Endothelial (venule), Resident BAM TAMs, Anti-inflammatory TAMs, Endothelial (CNA-associated)	Endothelial (capillary), Pericyte (CNA-associated), Endothelial (Other), Endothelial (arteriole), Endothelial (venule), Endothelial (CNA-associated), RTN1+ TAMs, Resident BAM TAMs, IFN-response T cells, Anti-inflammatory TAMs	Vasculature
sp_batchAT14	AT14_13	1	AClike.1, OPClike.2, MES2like.2, Ambiguous (neurons), AClike.2, NPC1like_OPClike.3, OPClike.3, Neural-support Astrocytes, ECM Astrocytes, Undefined_0	AClike.1, AClike.2, MES2like.2, OPClike.2, ECM Astrocytes, Neural-support Astrocytes, OPClike.3, OPClike.1, NPC1like_OPClike.3, Ambiguous (neurons)	Dev-like (AC)
sp_batchAT14	AT14_14	3	Oligodendrocytes 2, Oligodendrocytes 1, OPC (differentiating), Ambiguous (oligo.), Monocyte, Macrophage (microglia), OPCs, Endothelial (Other), Interferon TAMs, Pro-inflammatory TAMs	Oligodendrocytes 2, Oligodendrocytes 1, OPC (differentiating), Ambiguous (oligo.), Monocyte, Resident-Microglia TAMs, Macrophage (microglia), Endothelial (Other), Pro-inflammatory TAMs, OPCs	White matter
sp_batchAT14	AT14_15	11	AClike_MES1like.1, Endothelial (CNA-associated), Ambiguous (lymphocyte 1), Angiogenic TAMs, Undefined_10, Inflammatory Astrocytes, Pericyte (CNA-associated), IFN-response T cells, Proliferatve TAMs, Monocyte	AClike_MES1like.1, MES2like.1, Endothelial (CNA-associated), Pericyte (CNA-associated), Angiogenic TAMs, AClike.2, MES1like_MES2like.1, Proliferatve TAMs, Stress-response TAMs, VLMC	Gliosis transition
sp_batchAT14	AT14_2	1	NPC1like.1, OPClike.1, NPC2like.4, AClike_MES2like.1, MES2like.2, NPC2like.2, AClike_MES1like.2, NPC2like.1, MES1like_NPC2like.1, AClike.1	NPC1like.1, OPClike.1, AClike_MES1like.1, AClike.3, MES2like.1, AClike.1, NPC2like.4, MES2like.2, MES1like_MES2like.1, AClike_MES2like.1	Dev-like (AC)
sp_batchAT14	AT14_3	5	Stress-response TAMs, Angiogenic TAMs, Naïve T cells, Mixed CD4/CD8 T cells, MES2like.1, B cells, CD8 T cells, T reg, NK cells, CD8+ T cytotoxic cells 	Stress-response TAMs, Angiogenic TAMs, MES2like.1, Naïve T cells, Mixed CD4/CD8 T cells, B cells, CD8 T cells, T reg, IFN-response T cells, CD8+ T cytotoxic cells 	Hypoxic 1
sp_batchAT14	AT14_4	7	AClike.4, Undefined_7, ECM Astrocytes, Exc L2-3 IT, Interferon TAMs, Inh RELN, Ambiguous (lymphocyte 1), OPCs, Ion-channel Astrocytes, Undefined_9	AClike.4, ECM Astrocytes, Undefined_7, Interferon TAMs, Phagocytotic astrocytes, Monocyte, Stress-response TAMs, Ambiguous (lymphocyte 1), Pro-inflammatory TAMs, Neural-support Astrocytes	Pial layer
sp_batchAT14	AT14_5	18	AClike_MES1like.4, Naïve T cells, Undefined_6, Undefined_1, Ambiguous (neurons), Mixed CD4/CD8 T cells, Inh PVALB, Exc L6b, NPC1like_OPClike.2, OPClike.3	AClike_MES1like.4, Naïve T cells, T proliferatve cells, Undefined_6, Undefined_1, OPClike.3, B cells, T reg, Mixed CD4/CD8 T cells, CD8 T cells	Gliosis (diffuse)
sp_batchAT14	AT14_6	14	T proliferatve cells, Proliferatve TAMs, VLMC, Undefined_8, NK T cells, CD8 T cells, RTN1+ TAMs, Endothelial (venule), NPC1like_OPClike.2, CD8+ T cytotoxic cells 	T proliferatve cells, Proliferatve TAMs, AClike_MES1like.4, VLMC, Endothelial (venule), RTN1+ TAMs, CD8 T cells, Undefined_8, OPClike.3, CD8+ T cytotoxic cells 	Immune (TAMs)
