,Patient_Clone,state,n_cells,median_pseudotime,mean_pseudotime,q25_pseudotime,q75_pseudotime,diversity
27,at5_2,dev-like,2421,0.3716833206405143,0.3826922566506885,0.1815706387602066,0.5600848751329826,0.9243039436878446
28,at5_4,AC-gliosis-hypoxia,120,0.6868725276081367,0.6741999808859501,0.584341734161043,0.7691927332931271,0.5069009619044231
29,at5_4,dev-like,2041,0.4464433776243882,0.43275354447635406,0.3141418749397777,0.5270131536533119,0.5069009619044231
30,at5_9,AC-gliosis-hypoxia,173,0.5119630242835657,0.5831990360989762,0.4474980880261687,0.7121487893436639,0.5918624604779237
31,at5_9,dev-like,2043,0.4042166125620988,0.41710375836782076,0.29849493759007084,0.5547730292016817,0.5918624604779237
32,at6_0,AC-gliosis-hypoxia,549,0.6645325027916698,0.6677858553090319,0.6142724842389505,0.7163121338432019,0.539448887939231
33,at6_0,dev-like,2927,0.2128758480914065,0.23600979869397726,0.129502452757638,0.3302823577011351,0.539448887939231
34,at6_4,AC-gliosis-hypoxia,4000,0.409776570024041,0.4074682943484456,0.2893470720250167,0.5412173189672898,0.3120864414720961
35,at6_4,dev-like,132,0.44269324675947824,0.4803279614197367,0.37062130916494374,0.5996185018960343,0.3120864414720961
36,at6_5,AC-gliosis-hypoxia,20082,0.24161790441043884,0.2620392063645107,0.19298749871883514,0.31654628911445704,0.6115208935658618
37,at6_5,dev-like,1800,0.263583235428479,0.3031197039813924,0.21914568714272875,0.3655404769125189,0.6115208935658618
38,at7_0,AC-gliosis-hypoxia,5253,0.3035908394617013,0.3473825083915791,0.1438628994178043,0.5323373472055352,0.715429673205767
39,at7_0,dev-like,642,0.06135520123616735,0.16262288246703133,0.05064139108474247,0.11743143287321953,0.715429673205767
40,at9_0,AC-gliosis-hypoxia,3085,0.2882359263798478,0.3142845292830588,0.2479197701318407,0.3236402779426916,0.825188048461003
41,at9_0,dev-like,9338,0.19453456282928894,0.2591018823941415,0.1392413190494562,0.4333089364075955,0.825188048461003
42,at9_2,AC-gliosis-hypoxia,1279,0.7831797874039407,0.6739865529990706,0.6782949466283905,0.827227284424957,0.7694126857382728
43,at9_2,dev-like,10038,0.21296338992324865,0.27314804750321664,0.148106393062733,0.40476458131491544,0.7694126857382728
44,at9_4,AC-gliosis-hypoxia,2387,0.2102439991237948,0.26304233320198217,0.18024288365659774,0.2409744232575906,0.8385089009848583
45,at9_4,dev-like,9542,0.28952091408002717,0.2811632238827214,0.12810172553310856,0.398901838181892,0.8385089009848583
