,annotation_coarse,feature,mean,proportion
53,Proliferative,REL,0.5300171178769485,0.16654689184333454
54,AC-gliosis-like,IL1R1,0.5756911010974011,0.0772057627890338
55,AC-progenitor-like,IL1R1,0.09675999889900176,0.019625061095325275
56,Gliosis-like,IL1R1,1.0,0.15771684021152482
57,Hypoxic,IL1R1,0.2628985229202086,0.03756210569259685
58,NPC-neuronal-like,IL1R1,0.027487814976562653,0.00866949051898183
59,OPC-NPC-like,IL1R1,0.0002477562903554563,0.0036646278642131483
60,OPC-like,IL1R1,0.053896011119431285,0.012092792024131839
61,OPC-neuronal-like,IL1R1,0.0,0.004179420767600659
62,Proliferative,IL1R1,0.10718074555924073,0.0212899748472871
63,AC-gliosis-like,ZEB2,0.0,0.508666948518651
64,AC-progenitor-like,ZEB2,0.2215385605855688,0.6227084075451691
65,Gliosis-like,ZEB2,0.13234382359213281,0.5951043994984463
66,Hypoxic,ZEB2,0.12406489043435398,0.5184240817099646
67,NPC-neuronal-like,ZEB2,0.7610398289629658,0.7751870472269506
68,OPC-NPC-like,ZEB2,1.0,0.7993453227089555
69,OPC-like,ZEB2,0.8353087783546046,0.7819132140625735
70,OPC-neuronal-like,ZEB2,0.37948115721424497,0.6229691546974335
71,Proliferative,ZEB2,0.5435284247028351,0.7358740567732662
72,AC-gliosis-like,COL3A1,0.15414607471486935,0.007105922143809555
73,AC-progenitor-like,COL3A1,0.06097910544626594,0.0036284410129812034
74,Gliosis-like,COL3A1,1.0,0.039633647713024044
75,Hypoxic,COL3A1,0.09081189771261362,0.003933967624903472
76,NPC-neuronal-like,COL3A1,0.012876121508377962,0.001425121729147698
77,OPC-NPC-like,COL3A1,0.0007934100383143576,0.000639027634684855
78,OPC-like,COL3A1,0.058441679854020843,0.0024319948404087363
79,OPC-neuronal-like,COL3A1,0.0,0.0007063809748057452
80,Proliferative,COL3A1,0.0386877236135135,0.002290693496227093
81,AC-gliosis-like,TWIST2,1.0,0.03063514260626362
82,AC-progenitor-like,TWIST2,0.01307544250974323,0.0018804934017048703
